source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgzjI6TjvTQiaNdFJDh4AaABAg,comment,Y8yTY_7w3KA,,False,@autogefuehl,"Note that contrary to the first info and contrary to how they sold the vehicle to customers, the BYD Seal does come with animal skin leather. Customers bought the vehicle expecting animal free leatherette while BYD did not offer consistent information.

00:00 BYD Seal comes to Germany
01:29 Outside EV horrer sound
01:57 Length, battery kWh and recharging
02:35 Sporty design, RWD vs AWD
03:00 Blade battery and frunk
03:29 Interior: key, doors, steering
04:19 Seats and comfort
05:06 Cockpit overview and interface
06:53 Storage
07:19 Rear seating
08:48 Trunk / boot
09:40 City driving and chime
11:11 Steering feel and recuperation
13:31 Suspension and comfort
14:15 Motorway and acceleration
17:56 Autobahn top speed
19:43 Needs to be fixed
20:17 Can it match the Model 3?
21:40 Economy and real-world range

#BYD #BYDSeal

►Subscribe here: https://www.youtube.com/user/autogefuehl?sub_confirmation=1
►Also subscribe to our YouTube shorts channel: https://www.youtube.com/channel/UCmKVmuPc9wUlLuuhnIeP7_w?sub_confirmation=1
►Follow us on Facebook / Instagram / TikTok @autogefuehl",57,True
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vp-UsnhkGH,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@Rokii92,"you mean ""horror sound""? :D",0,True
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vpI9k1jApB,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@Elaba_,Tammy AI is without a job now.,0,True
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9vytQZ977iX,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@whatnow9653,"1:29    lolly pops,  cherry pies,  cream puffs,  ice cream,  treacle tarts and all free today.",0,True
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9wBY-12Xroy,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@rondhole,What separate a good and bad BEV is the heat management. Tesla Supermanifold cooling/ Octovalve systems is superior than any BEV available in the market. Nothing is even close.   The reliability is proven very long in all Tesla models compared to other brands.,0,True
UgzjI6TjvTQiaNdFJDh4AaABAg.9voUleYQpWB9x4NCNpcFl3,comment,Y8yTY_7w3KA,UgzjI6TjvTQiaNdFJDh4AaABAg,True,@mjw25a1,I take it from your review that the Seal drives better on road.... Particularly on rougher surfaces than the Model 3 Tesla? I don't much care about auto driving/drive assist tech though rather which is better to drive.  :),1,True
Ugx3EZ7zGM03b-BUMz94AaABAg,comment,Y8yTY_7w3KA,,False,@ElectricAdventures-q1p,I could build cheap cars if I used slave labour,0,True
UgzIccENe5FDLiSz4od4AaABAg,comment,Y8yTY_7w3KA,,False,@ElectricAdventures-q1p,Do the internal cameras and mics constantly record? And does that data get sent back to the manufacturer,0,True
UgzMJoPNaZIT3ogzwiB4AaABAg,comment,Y8yTY_7w3KA,,False,@JPSG3,"Europe also was a lot of money, but we prefer to subsidize  war.",0,True
UgxfIDxJdGUsx8GV8_p4AaABAg,comment,Y8yTY_7w3KA,,False,@tonygeorge6654,BYD is like the Kia lmao..its not all that one I drove suvked,0,True
UgyySGMqY0cmd-2mU2V4AaABAg,comment,Y8yTY_7w3KA,,False,@austintandoc8187,"1:29 that sounds so comforting & magical not scary. A unique choice for a pedestrian sound warning which I find beautiful 😊
Also the Seal (which I hope can come to Canada) is way better than the old & “refreshed” model 3.",0,True
UgywcNDKSwbJZsu9oyt4AaABAg,comment,Y8yTY_7w3KA,,False,@gustavoantoniocoloradoherr156,que lux ............,0,True
Ugw3l8pCOmI4SXjJgB54AaABAg,comment,Y8yTY_7w3KA,,False,@gustavoantoniocoloradoherr156,que lux .........,0,True
UgyGER-S3ksXJOE5g1V4AaABAg,comment,Y8yTY_7w3KA,,False,@jamesdawson3123,"Great car, terrible name😆",0,True
UgxKl5ImLGdhaTl6yGV4AaABAg,comment,Y8yTY_7w3KA,,False,@jamesdawson3123,Does that outside chime always play at low speed or can you switch it off? That would drive me crazy,0,True
UgxKl5ImLGdhaTl6yGV4AaABAg.A9Pfk0bH-mEA9PfpUjShxk,comment,Y8yTY_7w3KA,UgxKl5ImLGdhaTl6yGV4AaABAg,True,@autogefuehl,"you can switch what the sound is, but it is mandatory by law to play something",0,True
UgyeG4uZ7LOLWmGX4yt4AaABAg,comment,Y8yTY_7w3KA,,False,@Jonse70,"So autogefühl...
I respect you guys a lot. Giving this open review knowing that the German automobile industry is being killed by this company. 😊",0,True
UgwSONPopez-I5JDkVl4AaABAg,comment,Y8yTY_7w3KA,,False,@BhupendraBabuItani,Wow that's amazing 😍🤩,0,True
UgyMNQns2ZsivPlpPpd4AaABAg,comment,Y8yTY_7w3KA,,False,@Rick9482,"Not for me!
The Seal looks nice and may be competitive with Tesla but my Tesla is the fastest, safest car in class. It gets regular software updates and has that fantastic supercharger network.
Bottom line for me, it works great and meets my needs.

BYD still has a lot to prove and I doubt it will be available in the US anyway.",0,True
Ugydd3xvC7bTsJMq8hl4AaABAg,comment,Y8yTY_7w3KA,,False,@vembrace,The interior puts the Model 3 to shame.,0,True
UgyTn725gaMgGQbiaft4AaABAg,comment,Y8yTY_7w3KA,,False,@Mailme81,"For me it came down to the Seal Performance or the Tesla Model 3 Performance. The Long range doesnt compare with its basic seats and lesser performance. 
The BYD simply is the nicer car to sit in, more features. I just dont think you can be honest with yourself and accept no indicator stalks, gear lever and not being able to see the speedometer without looking at the middle of the dash - this is just madness to have not included at least a HUD.",1,True
UgxFE9yPoSq21TA-mWF4AaABAg,comment,Y8yTY_7w3KA,,False,@carlosorff,"Much better looking interior, seats, especially the doors and buttons, shift lever, and stalk. If they made one as a five-door hatch, it would be great as well. The Chinese are not trying to reinvent the wheel and are listening to the customers instead of teaching them new things. Different philosophies.I would expect the opposit from the Chinese...",0,True
UgxEWpnV5-novB8RBk14AaABAg,comment,Y8yTY_7w3KA,,False,@bananarepublic8951,"BYD comes with Android auto & apple car play, HUD, physical buttons, long range, much better quality build, better tech, Lidar system it is easy choice",0,True
UgyPHoVH70T1VJ8kDzN4AaABAg,comment,Y8yTY_7w3KA,,False,@孔明-r2b,德国朋友对中国汽车毫不吝啬的肯定，让我看到德国这个汽车强国人民的包容和格局，中国汽车工业未来很长时间还是要向德国学习！,0,True
