source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public
UgxPwiC7mQKHvCUISHx4AaABAg,comment,tezLYZHWkK4,,False,@carwow,Compare the best new/used car deals with Carwow: https://bit.ly/-Best-New-Car-Deals-1501,175,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-3bHDR1W38,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@dongshengdi773,"BYD just made a flying car.
https://youtu.be/DwhnArkZTu8?si=eNsa3Iw2ZNnYPzxV",2,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-3bPJcO2bz,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@dongshengdi773,"Chinese car experts or mechanics show you the Real BYD car technology.
https://youtu.be/1ZiUy_yCY0U?si=wZzuOdKTzVIbraHV",1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-3bSH7kV4L,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@dongshengdi773,"BYD EV technology at its finest.
https://youtu.be/DwhnArkZTu8?si=eNsa3Iw2ZNnYPzxV",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-8K1gF49DI,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@xX_illusion_Xx,"So you mean which one catches fire first, or which one outputs the most toxic smoke, or which one burns longer? https://www.youtube.com/watch?v=yOA7qKMcjcE",16,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-AS4Xmasd9,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@Eduardo_Espinoza,"The rear wheels falling off, was hilarious 😂 ​@illusion180976",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-BudGcdDT4,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@etmax1,"The whole idea with regen breaking is that you don't lift off entirely, the reverse of throttle is breaking so you can coast just as easily.",2,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-EWFZ2izmu,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@zouzhengliling,The worst Chinese electric vehicle is compared with the best American electric vehicle. Not fair to other Chinese electric vehicles,6,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-EXTCap3Th,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@zouzhengliling,The worst Chinese electric vehicle is compared with the best American electric vehicle. Not fair to other Chinese electric vehicles,2,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-H43XFxrCs,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@RIZFERD,BYD Seal design isn't of Tesla but of Mazda 3 sedan early 2000's,1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-HZYf_EPLt,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@marke9036,​@zouzhengliling*Err ...  on official Tesla selling website the newest 2024 long range is 341 mile  ...  where did you get 421 miles from*,2,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-HZywQg1uD,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@marke9036,"​@xX_illusion_Xx*just Google ""Tesla catch on fire"" it is so frequent it doesn't even catch on news anymore 🤭: https://youtu.be/LzYUC7aeilI*",1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-H_YAHwF5z,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@robertgittings8662,"​@xX_illusion_Xx*the channel you recommended is the most political filled, anti - China YouTuber you can find on YouTube, predictably gives you predictable speeches 🤭*",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-NDq9EWZ8z,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@Battleneter,"I have never felt the need to ""map out"" petrol stations, its a stunning leap backwards.",3,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-UZYy5HH-l,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@sandrahollo1575,"guys be VERY CAREFUL there are tons of 'paid bot' comments on this video (and even in the replies to this comment) from what I can only imagine to be BYD-sponsored propaganda accounts (which are barely a few days old lol). I feel like I can't trust an automotive company that chooses to spend money on misleading youtube comment sprees instead of just focusing on their technology? There are some strangely upvoted comments here about Teslas using BYD batteries, which is an absolutely laughable lie. Be careful of what you read, and report those accounts for misinformation!",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA-mDujlPdOz,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@aldozilli1293,"I like Matt Watson, he's always entertaining and engaging. Miles better than people like Clarkson et al",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA0TT5OtJQWl,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@Jerry-sf3vd,Don't see the point of spending so much time comparing the two cars driven under drastically different weather and road conditions.,1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA0gb7lY0Pei,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@ooxyxo,"Dear Team, Great videos, thanks for the effort! Would you consider adding km equivalents of miles while editing? It would be very much appreciated by quite a few people : ) (sorry if it’s been discussed before)",1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA12n63mcc2V,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@hilairelaplume1616,"You couldn't pay me to drive a Chinese car until they can prove they're not going to blow up or spontaneously combust after 30,000 miles..... There's a bunch of websites pick and choose whatever one you want but it shows Chinese cars after a certain amount of time and everything just stops working",4,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA13BzlxJsie,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@Jerry-sf3vd,"@xX_illusion_Xx I hate to point out that Serpentza manipulated quite a few videos to serve his China hating purpose. Using his “China's Unstoppable Corn Raiders - Crop Stealing Army!” as an example, slow down the play speed and focus on the first 3 second, you will see not yet harvested cornfield on the left (trying to show the “stealing”) then a quick scene change to the right where you see harvested cornfield and harvest machine (that's what people were ""stealing"").  It’s pretty common in the region that local people are allowed to pick up the left overs by the machines.  This is a 400 acre cornfield and it attracted ~100 people.  Local police were sent to maintain order. https://www.youtube.com/watch?v=0fvKzW_uiPk&t=3s",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA13D0u1spAj,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@Jerry-sf3vd,"@xX_illusion_Xx My effort to show you how Serpentaza manipulated a few videos to discredit China was blocked by YT.  Please search ""China's Unstoppable Corn Raiders - Crop Stealing Army!"", focus on the first few seconds and pay attention to the quick scene change.",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA1BjFMDrdEY,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@FJB2020,"It's pretty easy... American or communist chinese.. American all day every day, and we just wait for BYD to go bankrupt like the 410 other chinese EV makers have...",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA1BjT3WVVE8,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@FJB2020,​@zouzhengliling how is that not fair?  You literally said the best is American and the worst is chinese... we agree...,1,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA1GfYTWQtKi,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@8088I,"BYD being more than 15% heavier 
equates to more than 15% faster 
energy draw/drain.",2,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA2LKJMT3Vs0,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@zijiechou816,簡直是聞所未聞！老頭樂我都沒看過輪轂破成兩半的！,0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA2LKzyjf1mj,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@zijiechou816,"王傳福，你車架、底盤、輪轂，麻煩你用點好材料行不行？別太心黑！那是要人命的東西！
看視頻，救援拉斷車架，方向盤隨便一扭，拉斷懸掛，王傳福，你特麽還是人嗎？",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA3H8tetXK9v,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@TheBeastNL,"Fact: 54% of the tesla's are been made in China... so, on that it is not really an American car.",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA6M3ssMIVyP,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@dailm8056,@hilairelaplume1616,0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZA6M3wUAnBKW,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@dailm8056,"@hilairelaplume1616 Don't be presumptuous
No one will pay you to prove anything.
Anyway, Chinese cars will not be listed in the United States anymore
No brand would
Let Americans play alone
After Trump takes office
The United States and China are about to completely decouple. At that time, all Chinese goods will completely disappear from the United States.",0,True
UgxPwiC7mQKHvCUISHx4AaABAg.9zvTwUEsvvZABuSmRaMEow,comment,tezLYZHWkK4,UgxPwiC7mQKHvCUISHx4AaABAg,True,@KillaV91,"The wrong bhps was given?

The tesla your driving is not a performance ? 

And you said its 490bhp.
But they are 460bhp?

And you also tested the 460bhp version in another video and it did a 1/4 in 11.4.

So what gives?",0,True
